D_loss,G_loss,D_loss_real,D_loss_fake,D_x,D_G_z,epoch,seconds
0.9702061838380944,1.6935355924109639,0.4848006943590132,0.485405490533901,0.6578391953873405,0.318178818775331,1,5.226971626281738
1.0108554106257386,1.1647161244073825,0.51132487175686,0.4995305385508176,0.6338351110638524,0.35439234087790344,2,4.72269344329834
1.040771451678322,1.2375863791148207,0.5270351998611347,0.5137362509584223,0.6415930271403131,0.3511370560402804,3,4.900512456893921
1.1538245345256117,1.0655255275703928,0.5820587418313469,0.5717657931395503,0.6018810644666311,0.3933668253961215,4,4.651812791824341
1.1914431157590486,0.9979966876346502,0.5996167527764177,0.5918263633006919,0.585356978749262,0.40909350436805025,5,5.510244846343994
1.1993327449963467,0.9776782760497982,0.6026129801156299,0.5967197633222174,0.5808722859640132,0.4139989896606865,6,7.472258567810059
1.1933550633641166,0.9872383470214673,0.5992103905408079,0.5941446734912368,0.5822139125050959,0.41073887353900146,7,10.715879440307617
1.1879766136248822,0.998585940107083,0.5966180022587262,0.591358610793646,0.5843519612017665,0.40727088144774626,8,5.930479526519775
1.1815507329260908,1.0097265256888839,0.5933146094436198,0.5882361222102268,0.5872313795629154,0.4057826852404066,9,5.480218410491943
1.1783131638993067,1.0212779954759645,0.5916194538869115,0.5866937074042944,0.5893052301450117,0.40253195456023405,10,6.434098482131958
1.1725170048730986,1.0295676605551323,0.5888539135710534,0.5836630917155247,0.592274365837317,0.40159277374614644,11,4.568066596984863
1.1661369346376418,1.0425919269548536,0.5856063182415041,0.5805306151875055,0.5948334013766896,0.39869116534545557,12,4.612874746322632
1.161634153782876,1.050584805177141,0.5845295435400121,0.5771046098929968,0.597228983741178,0.3972106342827116,13,4.6321704387664795
1.1597045363586003,1.065325393302718,0.5826897930310146,0.5770147441227382,0.598805047404677,0.3936771108284831,14,6.757869720458984
1.1557786388356506,1.0695511405470532,0.5809858123609833,0.574792826156606,0.6003358785218084,0.3934795690766012,15,4.80535364151001
1.1552073084684675,1.0771140891307192,0.5806322629576431,0.5745750452881816,0.6011411755036646,0.39191760903615963,16,4.814101696014404
1.1566930770110677,1.0878004024606378,0.5819232358558455,0.5747698411552221,0.6012737380147871,0.38870308766879036,17,4.363261699676514
1.1493149271896834,1.0883546376177442,0.5785348776692133,0.5707800501883984,0.6034069478575422,0.3890078277063726,18,4.309783935546875
1.1496083207802177,1.0931278446822437,0.5784334152968742,0.5711749034159466,0.6038880112840374,0.38890339295790316,19,4.361239433288574
1.1481125196372433,1.095018886387539,0.5775082554735776,0.5706042662310625,0.6045749430786203,0.3893187588027091,20,4.37937068939209
1.1449839224046934,1.1003316585511256,0.5764279135263335,0.5685560108503385,0.6061646348320687,0.38751029239901863,21,4.471269607543945
1.1461515700804386,1.102237864835794,0.5766424140400922,0.569509159220957,0.6059543376543988,0.38705822876321594,22,4.364173889160156
1.1425702377851643,1.1088292723404305,0.5748987364221917,0.5676715004405954,0.6076493375202126,0.3863653543473817,23,4.301197528839111
1.1435766302788652,1.103849883013372,0.575763498133758,0.5678131323359438,0.6076880133012061,0.3882536189342385,24,4.268217086791992
1.1439514333181473,1.1079893295385794,0.5757942653262119,0.5681571713315766,0.6075152816169417,0.38769284835365564,25,4.266720294952393
1.1441466125760034,1.1086219114707654,0.5757677150510546,0.568378898510938,0.6076193933743932,0.38651155175496066,26,4.2840094566345215
1.145537249815502,1.1125608936445182,0.5763867909969362,0.5691504607269324,0.6072817320757513,0.3852755506557741,27,4.334965944290161
1.143873117458604,1.117980759260876,0.5752740384356826,0.5685990820763078,0.607973132660193,0.3843837305664889,28,4.316665172576904
1.1468449122368845,1.1130170722908501,0.5772317223640491,0.5696131872965406,0.6072611498985372,0.38615054270628296,29,4.311638832092285
1.1462925785124747,1.1125937144300855,0.5767221632100474,0.5695704177833036,0.6074738214021049,0.3858138722951028,30,4.3042356967926025
1.1439936631771646,1.1137153135419782,0.575604108284479,0.5683895555606138,0.6081231281304436,0.38602646348825004,31,4.361746549606323
1.142672238253224,1.1164911974583263,0.5749151281129843,0.5677571100766274,0.6087414768932977,0.3856457266380082,32,4.373786449432373
1.141689426616518,1.1154145225643985,0.5748804979415942,0.5668089282296384,0.6092984054233629,0.385316641887962,33,4.399580955505371
1.150707426931204,1.1121169569779867,0.5795695312249622,0.5711378942113549,0.6067781354854302,0.38643878711071444,34,4.360661029815674
1.1472677013408412,1.1066567264855098,0.5774430646267874,0.5698246386542264,0.6073663356210023,0.38786484894274137,35,4.323005437850952
1.1413558308699088,1.1211017249360793,0.5742637532879474,0.5670920780272468,0.6095465317352604,0.3840514975207338,36,4.383284091949463
1.1496816736148032,1.1133743490836918,0.5784327786340275,0.5712488950443878,0.6072488769077822,0.3858050478497081,37,4.36882472038269
1.1463362638189545,1.1135409564066086,0.5776031804186558,0.5687330823506973,0.6077952285077554,0.38607250429141227,38,4.331067323684692
1.1473670241799654,1.1207489699538769,0.57783500508285,0.5695320190971155,0.6079687801216557,0.38478718607377344,39,4.316903114318848
1.1446679625719818,1.1156788288974457,0.576353488094397,0.5683144765131756,0.6087892271156881,0.3857106228012158,40,4.299745321273804
1.1457315599396745,1.1163582071550628,0.577394191617009,0.5683373707399297,0.6087980715671242,0.3864210839269001,41,4.302950859069824
1.1449433317052136,1.11699724464559,0.5774616758749604,0.5674816570388851,0.609051585261061,0.3853733102247326,42,4.3805670738220215
1.1429279106276522,1.1205496511947892,0.574825352067754,0.5681025573194599,0.6093508200749771,0.38463429736098714,43,4.459349155426025
1.1428223231304417,1.1206357934558913,0.5753400403700109,0.5674822823787575,0.6094457527807453,0.384298997920249,44,4.385026931762695
1.1438248805709683,1.1184363563007327,0.5762271753242965,0.5675977049286108,0.6093554889570559,0.3852077106147082,45,4.319031476974487
1.1391618735889488,1.1212341731360527,0.5739441804723017,0.5652176928303921,0.6108300280672764,0.3849147093843116,46,4.381578207015991
1.1445990691444536,1.1229172197579065,0.5765116068444105,0.5680874622046248,0.6095776771659404,0.3846109473527178,47,4.545030355453491
1.1409992251223153,1.120554054050588,0.574995103328943,0.5660041239561877,0.6103419591230415,0.38533581836246505,48,4.261418104171753
1.1433243504710489,1.122081767914771,0.576138140234138,0.5671862105867779,0.6099753169901471,0.38414982533760234,49,4.29169487953186
1.1483742828811883,1.1198014913399166,0.5786144512694572,0.5697598301486501,0.6083434518653276,0.38467807105663876,50,4.324780225753784
